Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
09/16/2024,17:21:25,No Reading,84.0,42.0,No Reading,Off,Off,20.026,1.43,1.621,0.144,0.593,-0.246,0.011,10.059,-0.323,-0.03,-2.111,27.5532,2.1397,1.5157,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,108,0.3,Setpoint,108.0,106.2,N2,Setpoint,40,N2,Setpoint,40.0,46.1,Air,Air,214.3,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,15.05
09/16/2024,17:21:35,No Reading,84.0,42.0,No Reading,Off,Off,18.761,-1.184,1.631,0.171,0.606,-0.432,0.047,9.354,-0.483,-0.011,-2.21,27.5319,1.1062,1.5169,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128,0.3,Setpoint,128.0,126.1,N2,Setpoint,20,N2,Setpoint,20.0,22.8,Air,Air,214.8,Setpoint,6,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,14.85
09/16/2024,17:21:45,No Reading,84.0,42.0,No Reading,Off,Off,18.761,-1.184,1.631,0.171,0.606,-0.432,0.047,9.354,-0.483,-0.011,-2.21,27.539,1.5761,1.5142,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128,0.3,Setpoint,128.0,126.4,N2,Setpoint,20,N2,Setpoint,20.0,18.7,Air,Air,213.4,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,11.46
09/16/2024,17:21:55,No Reading,85.0,42.0,No Reading,Off,Off,17.337,-0.929,1.637,0.153,0.586,-0.198,0.079,8.924,-0.43,-0.027,-2.278,27.529,1.1285,1.5144,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,128,0.3,Setpoint,128.0,126.1,N2,Setpoint,20,N2,Setpoint,20.0,20.1,Air,Air,184.7,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,8.71
09/16/2024,17:22:05,No Reading,87.0,42.0,No Reading,Off,Off,19.792,0.144,1.629,-0.121,0.647,-0.331,-0.066,9.247,-0.186,-0.03,-1.936,27.5324,0.1489,1.5165,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,108,0.3,Setpoint,108.0,105.8,N2,Setpoint,40,N2,Setpoint,40.0,45.0,Air,Air,192.7,Setpoint,6,Setpoint,6.0,5.9,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,7.10
09/16/2024,17:22:15,No Reading,88.0,42.0,No Reading,Off,Off,18.516,2.463,1.644,0.037,0.585,-0.235,-0.166,10.384,-0.633,0.019,-2.683,27.5239,0.438,1.5149,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,108,0.3,Setpoint,108.0,106.2,N2,Setpoint,40,N2,Setpoint,40.0,40.5,Air,Air,238.2,Setpoint,6,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,8.35
09/16/2024,17:22:25,No Reading,87.0,42.0,No Reading,Off,Off,18.516,2.463,1.644,0.037,0.585,-0.235,-0.166,10.384,-0.633,0.019,-2.683,27.5249,-0.1095,1.5156,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,108,0.3,Setpoint,108.0,106.2,N2,Setpoint,40,N2,Setpoint,40.0,38.1,Air,Air,190.9,Setpoint,6,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,12.56
09/16/2024,17:22:35,No Reading,88.0,42.0,No Reading,Off,Off,17.519,2.515,1.639,0.038,0.599,-0.281,0.004,9.855,-0.052,-0.003,-2.539,27.4994,-0.0235,1.517,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,108,0.3,Setpoint,108.0,106.3,N2,Setpoint,40,N2,Setpoint,40.0,40.6,Air,Air,196.9,Setpoint,6,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,14.48
09/16/2024,17:22:45,No Reading,88.0,42.0,No Reading,Off,Off,20.746,0.86,1.633,0.166,0.64,-0.392,-0.056,10.033,-0.407,-0.076,-2.584,27.5289,0.8483,1.5183,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,88,0.3,Setpoint,88.0,86.2,N2,Setpoint,60,N2,Setpoint,60.0,54.7,Air,Air,199.0,Setpoint,6,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,15.63
09/16/2024,17:22:55,No Reading,87.0,42.0,No Reading,Off,Off,17.938,1.063,1.641,0.172,0.605,-0.303,-0.029,11.166,-0.386,-0.008,-3.146,27.5371,0.6076,1.5147,N2,Setpoint,6,N2,Setpoint,6.0,6.0,N2,Closed,54.0,N2,Closed,54.0,0.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.34,Setpoint,88,0.3,Setpoint,88.0,86.4,N2,Setpoint,60,N2,Setpoint,60.0,62.0,Air,Air,232.0,Setpoint,6,Setpoint,6.0,6.0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,19.68
